text,sentiment
# ख्रिसमस | नाताळ सणाच्या शुभेच्छा | Christmas Wishes in Marathi MarathiStyle।comया वेबसाईटवर आपल्याला दररोज marathi xmas। happy christmas sms in marathi। christmas in marathi। merry christmas in marathi। christmas essay in marathi। christmas wishes। sms। quotes। message in marathi।Natal wishes marathi।santa claus marathi ही ख्रिस्त जयंती व येणारे नवीन वर्ष। तुमच्या आयुष्यात सुख-शांती। समृद्धी। आरोग्य घेऊन येवो हीच प्रार्थना… नाताळच्या हार्दिक शुभेच्छा। आयुष्यात तुझ्या ख्रिसमसची रात्र सुख समृद्धी घेऊन येवो आनंद नेहमीच द्विगुणित होवो ख्रिसमसच्या हार्दिक शुभेच्छा। आला पहा नाताळ घेऊनी आनंद चहूकडे। केलेल्या चुकांची माफी मागुया प्रभूकडे। मनात धरूया आशा सर्व सुखी राहू दे। प्रभूची कृपा-दृष्टी आपल्यावर नेहमी राहू दे… नाताळच्या शुभेच्छा। नाताळ सण घेऊन आला आनंद मनात मागूया सार्‍या चुकांची माफी मनात सर्वांना सुखी कर ही कामना उरात मदत हाच धर्म गाणे गावे सुरात नाताळ सणाच्या हार्दिक शुभेच्छा। वात्सल्याचा सुगंध दरवळला। आनंदाचा सण आला। विनंती आमची येशूला सौख्य समृद्धी लाभो तुम्हाला क्रिसमस च्या शुभेच्छा सारे रोजचेच तरी भासो रोज नवा सहवास सोन्यासारखा लोकांसाठी आजचा दिवस हा खास मेरी ख्रिसमस। तुझ्या आयुष्यातही ख्रिसमसची रात्र सुख समृद्धी आणो। तुझा आनंद नेहमी द्विगुणित होवो। मेरी ख्रिसमस मित्रा। सांताक्लॉज घेऊन आला शुभेच्छा हजार। सोबत गिफ्ट्सची बरसात आणि आनंदाची बहार मोठ्या उत्साहात जावो तुमचा हा आनंदाचा सणवार। ख्रिसमसच्या हार्दिक शुभेच्छा तुमच्यासाठी सांता आनंद। समृद्धी आणि यश घेऊन येवो। तुमच्या मनातल्या सर्व इच्छा तो पूर्ण करो। मेरी ख्रिसमस। आला सांता आला घेऊन शुभेच्छा हजार लहान मुलांसाठी गिफ्ट्स आणि प्रेमाची बहार तुम्हाला ही आनंदाचा जावो हा आनंदाचा सण वारंवार। हेप्पी क्रिसमस नाताळाच्या या शुभ दिनी प्रभू आपल्या सर्व संकल्पना पुर्ण करो। ख्रिस्तमसच्या अनेक शुभेच्छा। नाताळ सण साजरा करु उत्साहात। प्रभू कृपेची करो बरसात…। नाताळाच्या प्रेमपुर्वक शुभेच्छा। नाताळाचा सण। सुखाची उधळण। मेरी ख्रिस्तमस। तुम्हाला व तुमच्या कुटुंबाला नाताळच्या प्रेमपूर्वक शुभेच्छा या नाताळात सांताक्लॉज आपणासाठी अक्षय सुखाची अमुल्य भेट घेऊन येवो। नाताळच्या हार्दिक शुभेच्छा प्रभूची कृपादृष्टी आपल्यावर नेहमी राहो। आपल्या जीवनात प्रेम सुख समृद्धी येवो। नाताळच्या हार्दिक शुभेच्छा MarathiStyle।com या वेबसाईट वर भेट दिल्याबद्दल धन्यवाद ।ख्रिसमस | नाताळ सणाच्या शुभेच्छा | Christmas Wishes in Marathiहि पोस्ट कशी वाटली याबद्दल अभिप्राय कळवा। धन्यवाद हे सुद्धा अवश्य वाचा 👇🏻 ![नवरात्रीच्या हार्दिक शुभेच्छा | Happy Navratri Wishes Sms Quotes In Marathi](https://marathionly.com/wp-content/uploads/2020/10/20201019_202503-300x168.jpg) ![दिवाळी शुभेच्छा मराठीत शुभ दीपावली | Diwali Wishes In Marathi](https://marathionly.com/wp-content/uploads/2020/11/PicsArt_11-01-04.02.39-300x300.jpg) ![दसरा शुभेच्छा मेसेज | Dasara Wishes In Marathi Shubhechha](https://marathionly.com/wp-content/uploads/2020/10/20201022_184025-300x234.jpg) ![भाऊबीज शुभेच्छा मराठी | Bhaubeej Wishes In Marathi](https://marathionly.com/wp-content/uploads/2020/11/IMG_20201107_172853-287x300.jpg) ![तुळशी विवाह शुभेच्छा | Tulasi Vivah Wishes Quotes In Marathi](https://marathionly.com/wp-content/uploads/2020/11/tulasi-vivah-in-marathi-300x300.jpg),0
![शुभ सकाळ सुप्रभात ~ 500+ Good morning messages in Marathi Images](https://marathionly.com/wp-content/uploads/2020/04/शुभ-सकाळ-सुप्रभात-500-Good-morning-messages-in-Marathi-Images-300x300.jpg) ![शुभ सकाळ ~ Good Morning SMS Marathi। Messages ~ Suprabhat](https://marathionly.com/wp-content/uploads/2020/04/Good-Morning-Marathi-Quotes-Messages-SMS-Suprabhat-SMS-300x300.jpg),0
# शुभ सकाळ सुप्रभात ~ 500+ Good morning messages in Marathi Images ”निवड” ”संधी” आणि ”बदल” या तीनही पण महत्वाच्या गोष्टी आहेत। “संधी” दिसता “निवड” करता आली तर “बदल” आपोआप होतो।“संधी” समोर दिसुनही ज्याला “निवड” करता येत नाही त्याच्यात कधीच “बदल” घडत नाही…। शुभ सकाळ । कोकिळेच्या मंजुळ सुरांनी। फुलांच्या हळुवार सुगंधानी आणि सूर्याच्या कोमल किरणांनी। हि सकाळ आपल स्वागतं करत आहेशुभ सकाळ आणि विचार मांडल्याशिवाय मतं तयार होत नाहीत।आपण मानवी अस्तित्ववादाचा नीट अभ्यास केलातर आपल्याला कळून येतं मानवी आयुष्य म्हणजेदुसरं तिसरं काही नसून सुरुवातीच्या विचाराचं रुपांतरशेवटी मतामध्ये होणं हेच आहे। शुभ सकाळ Good Morningशुभ सकाळ~Marathi Quotes। Messages ~ Suprabhat आपल्यात लपलेले परकेआणि परक्यात लपलेले आपलेजर तुम्हाला ओळखते आले तर।आयुष्यात वाईट दिवस पाहण्याची वेळआपल्यावर कधीच येणार नाहि आमची आपुलकी समझायला वेळ लागेल ……पण जेव्हा समझेल तेव्हा वेड लागेल।लोक रुप पाहतात।आम्ही ह्रदय पाहतो।लोक स्वप्न पाहतात।आम्ही सत्य पाहतो।फरक एवढाच आहे की। लोक जगात मित्र पाहतात।पण आम्ही मित्रांमध्येच जग पाहतो………।शुभ सकाळ डोळे कितीही छोटे असले तरीही।एका नजरेत सारं आकाश सामावण्याची ताकत असते।आयुष्य ही एक देवाने दिलेली अमुल्य देणगी आहे।जे जगण्याची मनापासून इच्छा असायला हवी।दु:ख हे काही काळाने सुखात परावर्तित होते।फक्त मनापासून आनंदी रहाण्याची इच्छा असायला हवी।|| शुभ सकाळ || समाजात जो सरळ व सत्याने वागतोत्याला नेहमीच अन्यायाचे घाव सोसावे लागतात।कारण …। जंगलात लहान मोठी। वाकडी तिकडीअशी अनेक प्रकारची झाडे वाढलेली असतात।परंतु अशी झाडे कोणीच तोडत नाही।पण जी सरळ वाढलेली असतातत्यांना माञ कुर्हाडीचे घाव सोसावे लागतात।शुभ सकाळ सकाळ म्हणजे फक्त सुर्योदय नसते।ती एक देवाची सुंदर कलाकृती असते।तो अंधारावर मिळवलेला विजय असतो।जगावर पसरलेल्या प्रकाशाच्या साम्राज्याची साक्ष असतेआणि आपल्या आयुष्यातल्या नव्या दिवसाचीआणि ध्येयाची सुरूवात असते।शुभ प्रभात।आपला दिवस आनंदी जावो। जिवनातील कोणत्याही दिवसाला दोष देऊ नका…कारण उत्तम दिवस आठवणी देतात।चांगले दिवस आनंद देतात।वाईट दिवस अनुभव देतात।तर अत्यंत वाईट दिवस आपल्याला शिकवण देतात…।शुभ सकाळ मोर नाचताना सुद्धा रडतो…आणि। राजहंस मरताना सुद्धा गातो…।दुःखाच्या रात्री झोप कुणालाच लागत नाही…आणि सुखाच्या आनंदात कुणीही झोपत नाही।यालाच जीवन म्हणतात।शुभ सकाळ किती दिवसाचे आयुष्य असते।आजचे अस्तित्व उद्या नसते।मग जगावे ते हसून-खेळून कारणया जगात उद्या काय होईलते कोणालाच माहित नसते।म्हणुन आनंदी रहा…।आपला दिवस आनंदी जावो।नव्हे तर।आपले संपूर्ण आयुष्य सुखी जावो।शुभ सकाळ ज्याच्या घरची तुळस फुललेली असते।त्याच्या घरी पाण्याचा तुटवडा नसतो।जिथे रोज सायंकाळी दिवेलागण होते।तिथे भक्तीची कमतरता नसते।जिथे शुभंकरोती होते। तिथे संस्कारची नांदी असते।जिथे दान देण्याची सवय असते।तिथे संपत्तीची कमी नसते। आणिजिथे माणुसकीची शिकवण असते।तिथे माणसांची कमी नसते।शुभ सकाळ “ध्येय दुर आहे म्हणून रस्ता सोडू नका।स्वप्नं मनात धरलेलं कधीच मोडू नका।पावलो पावली येतील कठिण प्रसंगफक्त चंद्र तारकांना स्पर्श करुनजिंकण्यासाठी जमीनीला सोडू नका“सुंदर दिवसाच्या सुंदर शुभेच्छासुप्रभात “खरे नाते हे पांढऱ्या रंगासारखे असते…कुठल्याही रंगात मिसळलेतर दरवेळी नवीन रंग देतात…पण। जगातले सर्व रंग एकत्र करूनहीपांढरा रंग तयार करता येत नाही।अशा सर्व 'शुभ्र…स्वच्छ…प्रामाणिक।जीवाला जीव देणा-याआपल्या माणसांना।शुभ सकाळ आनंदापेक्षाही मोठा असा एक आनंद आहे।तो त्यालाच मिळतो;जो स्वत:ला विसरूनइतरांना आनंदित करतो।|| शुभ सकाळ || पानाच्या हालचाली साठी वारा हवा असतो।मन जुळण्यासाठी नांत हव असत।नांत्यासाठी विश्वास हवा असतो।त्या विश्वासाची पहिली पायरी म्हणजे।” मैत्री ” मैत्रीच नांत कस जगावेगळ असत।रक्ताचं नसल तरी मोलाच असत…शुभ सकाळआपला दिवस आनंदाचा जाओ प्रेम असं द्यावं…।की घेणा-याची ओंजळ अपुरी पडावी ।मैत्री अशी असावी…।की स्वार्थाचं भानं नसावं ।आयुष्य असं जगावं…।की मृत्यूनेही म्हणावं । जग अजून। मी येईन नंतर । || शुभ सकाळ || पक्षी जेंव्हा जिवंत असतो। तेंव्हा तो किड्या मुंग्याना खातो।पण जेंव्हा पक्षी मरण पावतो।तेंव्हा तेच कीडे-मुंग्या त्या पक्षाला खातात।वेळ आणि स्थिती केंव्हाही बदलू शकते। –कोणाचा अपमान करू नका आणिकोणाला कमीही लेखू नका।|| शुभ सकाळ || तुम्ही खूप शक्तिशाली असाल।पण वेळ ही तुमच्यापेक्षाही शक्तिशाली आहे।एका झाडापासून लाखो माचिसच्या काड्या बनवता येतात।पण एक माचिसची काडी लाखो झाडे जाळून खाक करू शकते।कोणी कितीही महान झाला असेल।पण निसर्ग कोणाला कधीच महान बनण्याचा क्षण देत नाही। रूप दिले मोराला। पण इच्छा काढून घेतली।,0
इच्छा दिली मानवाला। पण संतोष काढून घेतला।संतोष दिला संतांना। पण संसार काढून घेतला।संसार दिला चालवायला देवी-देवतांना। पण मोक्ष काढून घेतला।हे मानवा। स्वतःवर कधीही अहंकार करू नकोस।देवाने तुझ्या-माझ्यासारख्या किती जणांना मातीतून घडवलं आणि मातीतच घातलं हरवलेल्या वस्तूही सापडू शकतात।पण। एकच गोष्ट अशी आहे की जी एकदा हातातून निसटली की।कोणत्याही उपायानं पुन्हा मिळू शकत नाही।आणि ती असते। “आपलं आयुष्य”।म्हणूनच। …।मनसोक्त जगा ।|| शुभ सकाळ || हसत राहिलात तर संपूर्ण जग तुमच्या जवळ आहे।नाहीतर डोळ्यातील अश्रुंना देखील डोळ्यात जागा राहत नाही|| शुभ सकाळ || जेंव्हा सगळंच संपून गेलंयअसं आपल्याला वाटतं।तीच खरी वेळ असतेनवीन काहीतरीसुरु होण्याची।|| शुभ सकाळ || तुमचा आजचा संघर्षतुमचे उद्याचे सामर्थ्यनिर्माण करतोत्यामुळेविचार बदला आणि बदला तुमचे आयुष्य । आपण महान गोष्टी करू शकत नाही तर। महान मार्गामध्ये लहान गोष्टी करा। सुख ही एक मानसिक सवय आहे।ती लावून घेणं आपल्याच हातात आहे।तुम्ही स्वतःला जितकं सुखी समजाल।तितकंच सुखी तुम्ही रहाल।तुमच्या सुखी रहाण्यावरकेवळ तुमचाच अधिकार असतो।इतर लोकं तुम्हाला दुःख देऊच शकत नाहीतही गोष्ट एकदा लक्षात आलीकी जगणं फार सोपं होऊन जाईल…|| शुभ सकाळ || लोक जेंव्हा तुमच्या विरोधात बोलतील।आवाज वाढवतील तेंव्हा। घाबरू नका।फक्त एक गोष्ट लक्षात ठेवा।प्रत्येक खेळात प्रेक्षक आवाज करतात। खेळाडू नाही ।खेळाडूला फक्त जिंकायचे असते।शुभ सकाळ पहिला नमस्कारपरमात्म्याला ज्याने ही सृष्टी बनविलीदुसरा नमस्कारआई वडिलांना ज्यांनी जन्म दिलातिसरा नमस्कारगुरुवर्यांना ज्यांनी विद्या दिलीचौथा नमस्कारआपणासर्वांना ज्यांच्यामुळे ह्या जगण्याला अर्थ मिळाला।शुभ सकाळसुंदर दिवसाच्या सुंदर शुभेच्छाआपला दिवस आनंदात व उत्साहात जावो रात्र ओसरली दिवस उजाडला। तुम्हाला पाहून सूर्य सुद्धा चमकला। चीलमिल किरणांनी झाडे झळकली सुप्रभात बोलायला सुंदर सकाळ उगवली|| शुभ सकाळ || सुंदर दिवसाची सुरुवात। नाजूक उन्हाची प्रेमळ साद। मंजुळ वाऱ्याची हळुवार हालचाल। रोज तुमच्या आयुष्यात येवो सुंदर सकाळ सुप्रभात खिशातील रक्कम बुद्धिमत्तेवर खर्च होत असेल तर ते धन चोरले जाऊ शकत नाही। ज्ञानासाठी केलेली गुंतवणुक हि नेहमीच चांगला परतावा देते सुंदर सकाळ सुप्रभात यश हे सोपे।कारण ते कशाच्या तरी तुलनेत असते ।पण समाधान हे महाकठीण।कारण त्याला मनाचीच परवानगी लागते। ![शुभ सकाळ सुप्रभात Good morning messages in Marathi](https://marathionly.com/wp-content/uploads/2020/04/Good-morning-messages-in-Marathi-1-2.jpg) ![शुभ सकाळ सुप्रभात - Good morning quotes in marathi with images](https://marathionly.com/wp-content/uploads/2020/04/Good-morning-messages-in-Marathi-7-2.jpg) ![शुभ सकाळ सुप्रभात - Good morning status in marathi](https://marathionly.com/wp-content/uploads/2020/04/Good-morning-messages-in-Marathi-12-2.jpg) ![शुभ सकाळ सुप्रभात - shubh sakal in marathi images](https://marathionly.com/wp-content/uploads/2020/04/Good-morning-messages-in-Marathi-17-2.jpg) ![शुभ सकाळ सुप्रभात - Morning quotes in marathi with images](https://marathionly.com/wp-content/uploads/2020/04/good-morning-quotes-in-marathi-with-images-14-1.jpg) ![शुभ सकाळ ~ Good Morning SMS Marathi। Messages ~ Suprabhat](https://marathionly.com/wp-content/uploads/2020/04/Good-Morning-Marathi-Quotes-Messages-SMS-Suprabhat-SMS-300x300.jpg),0
# पप्पू जोक्स मराठी | Funny Pappu Jokes In Marathi Sms गणिताच्या बाई वर्गात सांगतात उद्यासर्वांनी ३० परियंत पाढे पाठ करून यायचे…।पुढच्या दिवशी…बाई : ऊठ पप्पू……सांग २७ नव्व(२७*९) किती ।पप्पू जरावेळ विचार करतो।पप्पू : लई सोपं हाय बाई…। २७० वजा २७…। || बाई Shocks___पप्पू Rocks || भारतीय मुली खेळांमध्ये आघाडीवर का नाहीत।कारण 10% मुली क्रिकेट। हॉकी।टेनिस। चेस सारखे गेमखेळतात… 90% मुली यामध्ये बिझी असतात…जानू हे।जानू ते।जानू कुठे आहेस।जानू काय करतोयस…।जानू कधी येशील। जानू माझ्यावर खरच प्रेम करतोस ना।जानू आय मिस यु…।जानू आय लव यु…जीव घ्या आता त्या जानू चा……। बाबा:- पप्पू। तुला आई जास्त आवडते का मी (बाबा) …।पप्पू :- दोघे पण ।बाबा:- नाय। दोघांपैकी एकच सांग।पप्पू :- तरीपण दोघेच आवडतातबाबा:- जर मी लंडनला गेलो आणि तुझी आई पॅरीसला गेली तर तु कुठे जाणार…।पप्पू :- पॅरीसबाबा:- ह्याचा अर्थ म्हणजे तुला आई आवडते जास्त ।पप्पू :- नाय। पॅरीस खुप सुँदर शहर आहे लंडनपेक्षाबाबा:- जर मी पॅरीसला गेलो आणि तुझी आई लंडनला गेली तर मग तु कुठे जाणार …।पप्पू :- लंडनलाबाबा:- ह्याचा अर्थ म्हणजे तु आईवर जास्त प्रेम करतोपप्पू :- नाय । तस काय नाही ।बाबा:- तर मग काय ।पप्पू :- बाबा । पॅरीस फिरुन झाल म्हणुन लंडन जाणारबाबा:- हरामखोर । सरळ बोलना तु आईचा लाडका चमचा आहेस। जेव्हा एखादि मुलगी आपल्या A/C ADD होतेआपण तिझ्याशी लगेच CHAT करतोकाशी आहे काय करते घरातले कशे आहेहे सर्व विचारुन झाल्यावर एक प्रश्न विचारतो आपण आणि त्याच वेळी काही मुली खोट बोलतात सांगा बर तो प्रश्न कोणता आसतो।“तुला BF आहे का । काल सांच्याला मी ज्योतिषाकडे गेलतो।ते म्हणले की।”बाळा तु खुप शिकणार आहेस।” मी हसायला लागलो।ज्योतिषाला काय कळनाच झालं मग तो काय म्हणाला।”बाळा।हसतोस काय काय झालं काय।”।मी बोललो।”काका।मी खुप शिकणार हे खरंय पण पास कधी होणार ते सांगा की।” पप्पूची बायको पप्पूला मरण्या आधी एकलाकडी डब्बा देते। आणि ती मरते।पप्पू डब्बा उघडून पाहतो तर त्यात ३००००रुपये आणि ४ पेन भेटतात।आणि त्यात एक चिट्ठी असते।“पप्पू। मला माफकर।मी जेंव्हा जेंव्हा तुला धोका दिला तेंव्हा मी एकपेन या डब्ब्यात ठेवत होते।”पप्पू मनातल्या मनात”किती छानबायको होती माझी।मी तिला १०-१५ वेळेसधोका दिलाय आणि तिने फक्त ४ वेळेस”पुढे लिहिलं असतं।“आणि जेंव्हा १ डझन पेनजमा झाले की मी ते विकून टाकतहोते।त्याचेच हे ३००० रुपये।” दोन व्यक्ती असतात।एकाचं नाव असतं जो आणि दुसर्याचं असतंवो। एकदा जो आणि वो एका जंगलातफिरायला जातात। तिथे त्यांना एक सापदिसतो। जो सापाला बघून खूप घाबरतो पणतेवढ्यात सापवोला चावतो आणि वो मरतो। आता मला सांगा। वो कसा काय मेला।तुम्ही म्हणाल की साप चावून…पण कसंशक्य आहे। तो मेला कारण : जो डर गया। वो मरगया। पप्पू : डॉक्टर। माझ्या कानात सतत गुणगुण ऐकू येते।डॉक्टर : असं कधी होतं तुम्हाला।पप्पू : वॉकमन लावल्यावर। शिरप्याचं गाढव हरवलं। तरीही तो देवाला धन्यवाद देऊ लागला।पप्पू : काय रं शिरप्या। तुझं गाढव हरवलं आनि तरी बी तू देवाचे आभार मानतुयंस।शिरप्या : आरं बाबा। देवाचीच किरपा की मी त्या गाढवावर बसलो नव्हतो। न्हाय तर मी बी हरवलो असतो की। पप्पू : तू आणि फक्त तूच या घराला स्वर्ग बनवू शकतेस।पत्नी : कसं काय।पप्पू : माहेरी जाऊन। पप्पू : अरे। या टीव्हीवाल्यांना कसं काय कळतं।बंटी : काय कळतं।पप्पू : की। आप देख रहे है 'स्टार प्लस'। जगातील दोन कठीण कामे—(1) आपल्या डोक्यातीलविचार दुस-याच्या डोक्यातउतरविणे।(2) दुस-याच्या खिशातीलपैसा आपल्या खिशातआणणे।* पहिल्या कामात हुशारत्याला 'शिक्षक' म्हणतात।* दुस-या कामात हुशारत्याला 'व्यापारी' म्हणतात। * आणि दोन्ही कामातहुशार तिला 'बायको'म्हणतात। एक पोपट आणि पप्पूविमानाने प्रवासकरायला निघाले …Air Hostess बाजूने जातअसताना।पोपटाने शिट्टी वाजविली।तरतिनेस्माईल केलेते बघून पप्पूने पणशिट्टी वाजविली।तर तिने complaintकेली आणि शिक्षा म्हणूनदोघांना विमानातून फेकून द्यावे असेठरले।पोपटाने पप्पूला विचारलेउडता येतेका………।पप्पू : नाही…।पोपट: मग…शिट्टी कशालावाजविली…।रताळ्या … एकदा एक दारूड्यांचा घोळका रस्त्यावर चाललेला असतो। वाटेतील एका घराचे दार वाजवून त्यापैकी एकजण दारातउभ्या असलेल्या महिलेला विचारतो ।'पप्पूच घर हेचका ।''होय ' ती महिला उत्तरते।'मग आमच्यापैकी पप्पू कोण आहे ते ओळखून त्याला घरातघ्या। प्राणी संग्रहालयात आलेल्या पप्पूला तिथल्या एका वाघाने मारले।ते पाहून एका माकडाने विचारले: ” ओ वाघोबा। …एवढी गर्दी होती त्या गर्दी मध्ये तुम्ही एकाच माणसाच्या मागे होतात। सगळ्यांना सोडून त्यालाच का मारलं।”वाघ: ” अरे मारू नाहीतर काय…।अर्धा तास झाला माझ्याकडे बघून बोलत होता।” एवढी मोठ्ठी मांजर। एवढी मोठ्ठी मांजर।”“मग… माझी सटकली रे।,0
क्योंकी कुछ भी करनेका……… लेकिन अपना इगो हर्ट नहीं करनेका…। चम्या हा प्रेमळ पिता आपल्या दोन वर्ष्याच्या चुम्याला घेऊन मजेत बागेत खेळत होता। गोड। गोबाऱ्या। चुम्याला खांद्यावरघेऊन फिरताना अचानक कॉलेज मधली झिंगी हि सुंदर तरुणीत्यांच्या समोर आली………झिंगी:- ” हाऊ क्युट। हाऊ लवली। मी एक पापा घेऊ ।”चम्या :- “एक मिनिट मी चुम्याला खाली ठेवतो। तुम्ही चटकन पापा घ्या। कुणी बघितलं तर उगाच लफड होईल। एक प्रपोझ असा पण…पप्पू : चिँगे। तु माझ्‍या होणाऱ्या नातीच्‍या पप्‍पाच्‍या आजीच्‍या मुलाशी लग्‍न करशील का ।चिंगी : अय्‍या खरच। पप्पू – तुझी बहीण तुझ्या मानाने किती सुंदर आहे।बायको – मग तिच्याशीच करायचे होते लग्न। मला कशाला गटवलीत।पप्पू – तीच म्हणाली ताईचे झाल्याशिवाय मी नाही जा बायकोच्या सततच्या बडबडीमुळे पप्पू जाम वैतागला होता।पप्पू : तू जर पाच मिनिटं गप्प बसलीस ना तर मी तुला पाचशे रुपये देईन।पप्पूची बायको गप्प बसली। जेमतेम दोन मिनिटांनंतर तिने पप्पूला विचारलं। 'अहो। जरा घड्याळ बघा ना। पाच मिनिटं झाली का ते।' एकदा पप्पूला त्याच्या गर्लफ्रेण्डचा एसएमएस आला।' आय मिस यू।'पप्पूने खूप विचार करून त्याला उत्तर लिहिले।' आय मिस्टर यू।' बायको : काय हो…इतक्या हळू आवाजात कोणाशी बोलताय।पप्पू : बहिणीशीबायको : अहो मग। बहिणीशी इतक्या हळू आवाजात कशाला बोलायला हवं।पप्पू : अगं माझ्या नाही। तुझ्या बहिणीशी बोलतोय। गंपू :- यार । मला माझ्या गल्फ्रेन्डला काहीतरी मस्त गिफ्ट द्यायचय।पप्पू :- अरे । मग सोन्याची एक नाजूक अंगठी दे तिला।गंपू :- तसं नाही रे…… भलमोठ वाटेल असं काहीतरी सुचव।पप्पू :- मग असं कर …।ट्रकचा एक टायरच दे तिला। पप्पूचे वडील : नालायका त्या शेजारच्या जोश्यांची चिंगी पहा जरा पहिली आलीये…। नाहितर तु खुशाल नापास होतोस निर्लज्जासारखा…।पप्पू : अजुन किती पाहु… तिला पाहुन पाहुन तर नापास झालो ना…। रिक्षावाला – 50 रुपये झालेपप्पू– हे घे 25 रुपयेरिक्षावाला – हि काय दादागिरीपप्पू – बरोबर आहे ।तु पण आलास ना रिक्षात बसुनमग काय तुझ भाड मिच भरू। पप्पू – चिंगे मला आपला मुलगा सुन्दर व्हायला पाहिजे।चिंगी – एक गोष्ट क्लिअर करा।मुलगा सुन्दर पाहिजे की आपला पहिजे। बँकेतला किस्सा :पप्पू – “आज चेक डिपॉंजीट केला तर जमा केव्हा होईल।”कारकून -” ३ दिवसांनी”पप्पू – “”अहो बँक समोरच तर आहे…।फक्त रस्ता क्रॉस करायचा आहे…।तरीही एवढा वेळ ।”कारकून – “अहो ती प्रोसिजर आहे…। समजा उद्या तुम्ही स्मशानाबाहेर मेलात तर डायरेक्ट स्मशानात नेऊन जाळतील कि रीतसर घरी नेऊन मग जाळतील । एकदा Gappu आणि pappu एका जेवण्याच्या पंगतीतजेवत असताततेव्हा त्यांना एक माणूस येऊन विचारतो… “तुम्ही कोण।”Gappu – “मी मुला कडून आलोय।”Pappu – “मी मुलीकडून आलोय।”।विचारपूस करणारा माणूस – ” चपलेने मारीन माकडांनो; हे तेराव्याचे जेवण आहे… पप्पू आणि आणि गोलू गंभीर चेहरे करुनबोलत होते…पप्पू- माझे आणि माझ्या गर्लफ्रेंडचेगेल्या आठवड्यात भांडण झालेआणि आम्ही दोघांनी वेगळेहोण्याचा निर्णय घेतला…गोलू – मग …।पप्पू – तिनेमला चिडविण्यासाठी एका नविनबॉयफ्रेंडसोबतफोटो काढला आणि तो मला पाठवला…गोलू – अरे… हे फार वाईट झाले… जाऊदे। बॅडलक म्हणून सोडून दे…पप्पू – सोडून दे । तेच तर केले…मला फोटो पाठवते काय।मीही काही कमी नाही।मीही तो फोटो उचलला आणि तिच्या बापाकडेदिला पाठवून। पप्पू 5 मिनिटात पेपर देऊन जाऊ लागतो। शिक्षक :- का रे पप्पू ……।पेपर मधलकाही येत नाही का।पप्पू – तसं नाही सर…… मला उद्याच्या पेपरचा अभ्यास करायचा आहे…। म्हणून लवकरचाललोय…। पप्पू: पप्पा तुम्ही भूतांमध्ये विश्वास ठेवता काय हो ।पप्पा : नाही रे वेड्या । भूत बित तसलं काय नसत या जगात …पप्पू: मग आपली कामवाली म्हणत होती आपल्या घरात भूत आहे म्हणूनपप्पा : चल सुटकेस मध्ये आपले कपडे भर …पप्पू: प । पण का पप्पा …।पप्पा : आपल्याकडे कोणतीच कामवाली नाहीये पप्पू ने एका मुलीला प्रपोज केलं पण त्यामुलीनं त्याला नकार दिला…।मग कायपप्पू ने ऑटोरिक्षा घेतली आणि तिच्या कॉलनीमध्ये रिक्षा चालवू लागला। आता ती रोजपप्पू ला थांबवते।आणि पप्पू तिला नकार देऊन पुढे जातोयाला म्हणतात बदला घेणे…। वडिल : पप्पू। रेल्वे येते तेव्हा रस्त्याचे फाटक का बंद करतात।पप्पू : रेल्वे रुळ सोडून रस्त्यावर धावू नये म्हणून। पप्पू : मम्मी आपल्या शेजारच्या मावशीची दोन-दोन नावं आहेत काय।मम्मी : नाही बेटा त्यांचं नाव जया आहे।पप्पू- पण डॅडी तर त्यांना डार्लिग म्हणत होते। पाहुणा- मला तुमच्या घरातील माशा फार त्रास देताहेत। मी आलो तेव्हापासून त्या माझ्या अंगावर बसताहेत।पप्पू- काका। मी पण त्यांच्या या सवयीने अगदी त्रासलोय। कुठे एखादी घाणेरडी वस्तू पाहिली की लगेच त्या बसतात। पप्पू- हा बकरा इतका का ओरङतो आहे। खाटीक त्याला मारणार म्हणून ।पप्पू- छे।,0
